Loan Date Quarter,CreditGrade,BorrowerRate,BorrowerRate_median,BorrowerRate_25,BorrowerRate_75,BorrowerRate_min,BorrowerRate_max
2007-Q4,A,0.125,0.125,0.1052,0.14,0.06,0.35
2007-Q4,AA,0.083,0.083,0.075,0.105,0.0425,0.2799
2007-Q4,B,0.142,0.142,0.135925,0.17,0.085,0.35
2007-Q4,C,0.15985,0.15985,0.115,0.202875,0.05,0.35
2007-Q4,D,0.198,0.198,0.165,0.25,0.04,0.35
2007-Q4,E,0.2819,0.2819,0.221125,0.348,0.05,0.36
2007-Q4,HR,0.29,0.29,0.217125,0.3499,0.01,0.35
2008-Q1,A,0.11995,0.11995,0.09515,0.16,0.0645,0.35
2008-Q1,AA,0.087,0.087,0.074,0.117,0.04,0.3166
2008-Q1,B,0.1472,0.1472,0.135,0.18,0.0001,0.35
2008-Q1,C,0.16,0.16,0.12,0.2125,0.0,0.35
2008-Q1,D,0.18,0.18,0.155,0.27,0.04,0.35
2008-Q1,E,0.2892,0.2892,0.235,0.35,0.05,0.36
2008-Q1,HR,0.32875,0.32875,0.25,0.35,0.0,0.36
2008-Q2,A,0.125,0.125,0.09725,0.17085,0.0,0.35
2008-Q2,AA,0.1,0.1,0.075,0.127,0.048,0.3238
2008-Q2,B,0.16,0.16,0.1395,0.199,0.05,0.36
2008-Q2,C,0.19,0.19,0.1485,0.25,0.06,0.35
2008-Q2,D,0.24,0.24,0.162,0.32,0.04,0.36
2008-Q2,E,0.335,0.335,0.28,0.35,0.01,0.36
2008-Q2,HR,0.3499,0.3499,0.2998,0.35,0.03,0.36
2008-Q3,A,0.13,0.13,0.08535,0.1589,0.065,0.35
2008-Q3,AA,0.09615,0.09615,0.07665,0.121625,0.0545,0.2633
2008-Q3,B,0.1585,0.1585,0.136225,0.2045,0.0395,0.35
2008-Q3,C,0.2025,0.2025,0.173725,0.286475,0.1045,0.35
2008-Q3,D,0.2475,0.2475,0.1765,0.3,0.05,0.35
2008-Q3,E,0.3405,0.3405,0.285,0.35,0.05,0.35
2008-Q3,HR,0.34,0.34,0.3,0.35,0.18,0.35
2009-Q1,A,0.07995,0.07995,0.077975,0.081925,0.076,0.0839
2009-Q1,AA,0.0864,0.0864,0.0864,0.0864,0.0864,0.0864
2009-Q1,B,0.1615,0.1615,0.1235,0.18775,0.0855,0.214
2009-Q1,C,0.179,0.179,0.1649,0.18,0.148,0.24
2009-Q1,D,0.34325,0.34325,0.339875,0.346625,0.3365,0.35
